episode,reward,epsilon,mode
34500,-28.0,0.5116846813032118,easy
34600,-30.18,0.5106623244146784,easy
34700,-30.26,0.5096420102169781,easy
34800,-30.96,0.5086237346287705,easy
34900,-30.7,0.5076074935768693,easy
35000,-19.03,0.5065932829962292,easy
35100,-29.24,0.5055810988299254,easy
35200,-31.4,0.5045709370291377,easy
35300,-26.56,0.5035627935531372,easy
35400,-30.06,0.5025566643692686,easy
35500,-22.19,0.5015525454529329,easy
35600,-30.19,0.5005504327875713,easy
35700,-20.53,0.4995503223646541,easy
35800,-23.67,0.49855221018365675,easy
35900,-28.95,0.4975560922520501,easy
36000,-25.18,0.4965619645852813,easy
36100,-24.47,0.4955698232067585,easy
36200,-32.52,0.49457966414783566,easy
36300,-28.52,0.49359148344779585,easy
36400,-17.37,0.49260527715383595,easy
36500,-29.44,0.4916210413210508,easy
36600,-27.96,0.4906387720124169,easy
36700,-27.94,0.48965846529877677,easy
36800,-28.91,0.4886801172588245,easy
36900,-33.52,0.48770372397908784,easy
37000,-20.24,0.4867292815539146,easy
37100,-26.53,0.4857567860854556,easy
37200,-22.64,0.48478623368365,easy
37300,-28.16,0.4838176204662092,easy
37400,-25.66,0.4828509425586011,easy
37500,-25.35,0.48188619609403605,easy
37600,-32.06,0.4809233772134495,easy
37700,-27.94,0.4799624820654876,easy
37800,-26.88,0.4790035068064917,easy
37900,-38.84,0.47804644760048276,easy
38000,-26.75,0.477091300619146,easy
38100,-29.21,0.4761380620418162,easy
38200,-28.3,0.4751867280554607,easy
38300,-31.35,0.474237294854667,easy
38400,-28.69,0.47328975864162454,easy
38500,-30.65,0.4723441156261116,easy
38600,-28.05,0.4714003620254793,easy
38700,-28.27,0.4704584940646363,easy
38800,-18.94,0.4695185079760344,easy
38900,-31.63,0.46858039999965234,easy
39000,-24.73,0.4676441663829824,easy
39100,-25.15,0.46670980338101375,easy
39200,-32.4,0.4657773072562185,easy
39300,-32.56,0.464846674278536,easy
39400,-32.22,0.4639179007253588,easy
39500,-28.18,0.46299098288151747,easy
39600,-27.82,0.46206591703926503,easy
39700,-33.14,0.46114269949826275,easy
39800,-26.86,0.46022132656556497,easy
39900,-30.01,0.45930179455560566,easy
40000,-36.5,0.4583840997901819,easy
40100,-28.67,0.45746823859844027,easy
40200,-32.14,0.4565542073168609,easy
40300,-30.04,0.4556420022892448,easy
40400,-28.81,0.45473161986669725,easy
40500,-26.58,0.4538230564076146,easy
40600,-36.37,0.45291630827766904,easy
40700,-35.41,0.45201137184979456,easy
40800,-31.82,0.4511082435041717,easy
40900,-20.55,0.4502069196282142,easy
41000,-24.53,0.4493073966165527,easy
41100,-24.42,0.4484096708710218,easy
41200,-25.35,0.447513738800646,easy
41300,-31.39,0.44661959682162367,easy
41400,-33.94,0.44572724135731423,easy
41500,-27.55,0.4448366688382233,easy
41600,-29.99,0.4439478757019885,easy
41700,-32.39,0.44306085839336495,easy
41800,-39.67,0.44217561336421163,easy
41900,-29.62,0.4412921370734755,easy
42000,-24.8,0.4404104259871806,easy
42100,-25.33,0.4395304765784098,easy
42200,-28.75,0.43865228532729456,easy
42300,-25.71,0.43777584872099873,easy
42400,-32.0,0.4369011632537038,easy
42500,-30.06,0.43602822542659736,easy
42600,-24.79,0.4351570317478572,easy
42700,-26.67,0.43428757873263707,easy
42800,-25.04,0.4334198629030549,easy
42900,-32.96,0.43255388078817647,easy
43000,-40.96,0.43168962892400264,easy
43100,-35.69,0.43082710385345574,easy
43200,-19.23,0.4299663021263659,easy
43300,-30.5,0.42910722029945614,easy
43400,-28.74,0.42824985493632883,easy
43500,-27.79,0.4273942026074526,easy
43600,-27.3,0.42654025989014877,easy
43700,-34.97,0.4256880233685776,easy
43800,-28.64,0.42483748963372286,easy
43900,-23.29,0.42398865528338087,easy
44000,-27.84,0.42314151692214497,easy
44100,-27.98,0.42229607116139284,easy
44200,-28.36,0.4214523146192728,easy
44300,-29.8,0.42061024392068985,easy
44400,-22.08,0.41976985569729297,easy
44500,-32.9,0.4189311465874605,easy
44600,-20.62,0.4180941132362885,easy
44700,-31.34,0.4172587522955747,easy
44800,-35.33,0.41642506042380806,easy
44900,-30.71,0.41559303428615296,easy
45000,-30.18,0.4147626705544376,easy
45100,-26.25,0.4139339659071386,easy
45200,-26.15,0.41310691702937036,easy
45300,-30.73,0.4122815206128705,easy
45400,-31.65,0.41145777335598616,easy
45500,-28.07,0.41063567196366113,easy
45600,-22.14,0.40981521314742275,easy
45700,-40.16,0.4089963936253692,easy
45800,-31.24,0.4081792101221558,easy
45900,-31.3,0.407363659368982,easy
46000,-27.6,0.4065497381035786,easy
46100,-34.27,0.40573744307019427,easy
46200,-37.48,0.4049267710195829,easy
46300,-33.47,0.40411771870899016,easy
46400,-32.58,0.40331028290214127,easy
46500,-34.92,0.40250446036922716,easy
46600,-28.29,0.4017002478868921,easy
46700,-33.23,0.4008976422382208,easy
46800,-23.44,0.4000966402127254,easy
46900,-35.08,0.3992972386063328,easy
47000,-24.34,0.39849943422137124,easy
47100,-33.34,0.3977032238665587,easy
47200,-22.45,0.3969086043569885,easy
47300,-23.2,0.39611557251411805,easy
47400,-26.95,0.3953241251657559,easy
47500,-28.6,0.3945342591460481,easy
47600,-29.1,0.3937459712954663,easy
47700,-32.9,0.3929592584607945,easy
47800,-27.74,0.3921741174951185,easy
47900,-33.12,0.39139054525780953,easy
48000,-27.35,0.3906085386145154,easy
48100,-32.1,0.3898280944371458,easy
48200,-27.39,0.3890492096038603,easy
48300,-32.47,0.3882718809990566,easy
48400,-28.97,0.3874961055133571,easy
48500,-39.7,0.3867218800435967,easy
48600,-31.07,0.38594920149281065,easy
48700,-28.06,0.38517806677022143,easy
48800,-30.88,0.3844084727912277,easy
48900,-23.82,0.38364041647739083,easy
49000,-30.91,0.38287389475642347,easy
49100,-27.05,0.38210890456217594,easy
49200,-36.87,0.3813454428346256,easy
49300,-27.68,0.3805835065198629,easy
49400,-32.76,0.3798230925700812,easy
