WORD       | FINAL    | ENTROPY  | PROB MASS
blare      | 6.0120   | 5.4878   | 0.5242
stain      | 6.0102   | 5.2747   | 0.7355
talon      | 6.0085   | 5.3366   | 0.6719
actor      | 6.0085   | 5.2134   | 0.7951
smear      | 6.0058   | 5.3147   | 0.6911
polar      | 6.0028   | 5.2354   | 0.7674
drain      | 6.0014   | 5.2413   | 0.7601
death      | 6.0013   | 5.1545   | 0.8468
waste      | 6.0005   | 5.1746   | 0.8259
older      | 5.9997   | 5.1715   | 0.8282
drape      | 5.9991   | 5.3551   | 0.6440
petal      | 5.9987   | 5.3247   | 0.6740
anime      | 5.9980   | 5.1807   | 0.8173
shape      | 5.9979   | 5.1872   | 0.8107
camel      | 5.9948   | 5.2139   | 0.7809
cream      | 5.9944   | 5.1834   | 0.8110
argue      | 5.9940   | 5.2235   | 0.7705
trope      | 5.9927   | 5.4257   | 0.5670
email      | 5.9923   | 5.1040   | 0.8883
haute      | 5.9923   | 5.2844   | 0.7079
shirt      | 5.9916   | 5.1661   | 0.8255
spore      | 5.9908   | 5.3372   | 0.6536
paint      | 5.9897   | 5.1843   | 0.8054
grape      | 5.9869   | 5.2499   | 0.7370
print      | 5.9859   | 5.1188   | 0.8671
angle      | 5.9850   | 5.1884   | 0.7966
snarl      | 5.9840   | 5.3894   | 0.5946
skate      | 5.9838   | 5.2342   | 0.7496
borne      | 5.9817   | 5.2478   | 0.7339
aider      | 5.9791   | 5.3987   | 0.5804
pleat      | 5.9787   | 5.3649   | 0.6138
agile      | 5.9775   | 5.2709   | 0.7066
shalt      | 5.9765   | 5.2688   | 0.7077
regal      | 5.9760   | 5.2600   | 0.7160
style      | 5.9755   | 5.1233   | 0.8522
ready      | 5.9752   | 5.1365   | 0.8387
motel      | 5.9740   | 5.2000   | 0.7740
caper      | 5.9736   | 5.3296   | 0.6440
yearn      | 5.9731   | 5.3532   | 0.6199
house      | 5.9726   | 5.0991   | 0.8735
aside      | 5.9715   | 5.1881   | 0.7834
plier      | 5.9710   | 5.3584   | 0.6126
peril      | 5.9697   | 5.2797   | 0.6900
shade      | 5.9694   | 5.2058   | 0.7636
worse      | 5.9634   | 5.1697   | 0.7937
super      | 5.9626   | 5.1221   | 0.8405
anger      | 5.9620   | 5.1932   | 0.7688
penal      | 5.9590   | 5.2620   | 0.6970
chair      | 5.9578   | 5.1321   | 0.8257
angel      | 5.9553   | 5.1451   | 0.8102
louse      | 5.9543   | 5.3614   | 0.5929
purse      | 5.9530   | 5.1991   | 0.7539
sport      | 5.9527   | 5.1140   | 0.8387
cheat      | 5.9503   | 5.1734   | 0.7769
pride      | 5.9501   | 5.1593   | 0.7908
poser      | 5.9494   | 5.2558   | 0.6936
islet      | 5.9489   | 5.3046   | 0.6443
diner      | 5.9482   | 5.2317   | 0.7165
slime      | 5.9479   | 5.2754   | 0.6725
royal      | 5.9477   | 5.1187   | 0.8290
cutie      | 5.9452   | 5.2123   | 0.7329
other      | 5.9447   | 5.0405   | 0.9042
spine      | 5.9438   | 5.1907   | 0.7531
spiel      | 5.9406   | 5.2714   | 0.6692
poise      | 5.9391   | 5.3131   | 0.6260
alike      | 5.9386   | 5.1797   | 0.7589
taken      | 5.9380   | 5.0899   | 0.8481
forte      | 5.9335   | 5.2273   | 0.7062
metro      | 5.9291   | 5.1291   | 0.8000
heist      | 5.9283   | 5.2915   | 0.6368
ramen      | 5.9255   | 5.2946   | 0.6309
farce      | 5.9236   | 5.2597   | 0.6639
agent      | 5.9223   | 5.0864   | 0.8359
brine      | 5.9215   | 5.2520   | 0.6695
slept      | 5.9211   | 5.2025   | 0.7186
anode      | 5.9200   | 5.2534   | 0.6666
baler      | 5.9199   | 5.3349   | 0.5850
shone      | 5.9179   | 5.2555   | 0.6624
stake      | 5.9145   | 5.1638   | 0.7507
moral      | 5.9142   | 5.1254   | 0.7888
brain      | 5.9132   | 5.0937   | 0.8195
sober      | 5.9117   | 5.2087   | 0.7030
radio      | 5.9101   | 5.0548   | 0.8553
snake      | 5.9073   | 5.1405   | 0.7668
taker      | 5.9070   | 5.2504   | 0.6566
droit      | 5.9051   | 5.2396   | 0.6655
chore      | 5.9044   | 5.2528   | 0.6516
